0,2020-01-24,united states,22
1,2020-01-24,canada,2
0,2020-01-24,united states,2380
1,2020-01-24,canada,256
2,2020-01-24,united kingdom,246
3,2020-01-24,china 中国,186
4,2020-01-24,australia,63
5,2020-01-24,india,58
6,2020-01-24,china,56
7,2020-01-24,philippines,47
8,2020-01-24,france,36
9,2020-01-24,switzerland,33
10,2020-01-24,nigeria,30
11,2020-01-24,new zealand,27
12,2020-01-24,malaysia,24
13,2020-01-24,república dominicana,23
14,2020-01-24,ireland,22
15,2020-01-24,suomi,22
16,2020-01-24,brasil,19
17,2020-01-24,deutschland,18
18,2020-01-24,taiwan,17
19,2020-01-24,nederland,17
20,2020-01-24,south africa,16
21,2020-01-24,netherlands,15
22,2020-01-24,românia,14
23,2020-01-24,singapore,14
24,2020-01-24,japan,13
25,2020-01-24,vietnam,11
26,2020-01-24,italia,11
27,2020-01-24,georgia / საქართველო,10
28,2020-01-24,germany,9
29,2020-01-24,pakistan,9
30,2020-01-24,argentina,8
31,2020-01-24,colombia,8
32,2020-01-24,méxico,8
33,2020-01-24,españa,8
34,2020-01-24,portugal,8
35,2020-01-24,egypt / مصر,7
36,2020-01-24,sverige,7
37,2020-01-24,kenya,6
38,2020-01-24,indonesia,6
39,2020-01-24,spain,6
40,2020-01-24,россия,6
41,2020-01-24,ประเทศไทย,6
42,2020-01-24,azerbaijan,6
43,2020-01-24,sweden,6
44,2020-01-24,ایران,5
45,2020-01-24,austria,5
46,2020-01-24,bosna i hercegovina,5
47,2020-01-24,norge,5
48,2020-01-24,belgium,5
49,2020-01-24,venezuela,4
50,2020-01-24,tanzania,4
51,2020-01-24,norway,4
52,2020-01-24,پاکستان,4
53,2020-01-24,turkey,4
54,2020-01-24,việt nam,4
55,2020-01-24,finland,4
56,2020-01-24,nepal,3
57,2020-01-24,haiti,3
58,2020-01-24,thailand,3
59,2020-01-24,日本 (japan),3
60,2020-01-24,denmark,3
61,2020-01-24,uganda,3
62,2020-01-24,puerto rico,3
63,2020-01-24,ecuador,3
64,2020-01-24,türkiye,3
65,2020-01-24,българия,3
66,2020-01-24,zambia,3
67,2020-01-24,sri lanka,3
68,2020-01-24,danmark,3
69,2020-01-24,malawi,3
70,2020-01-24,united arab emirates,3
71,2020-01-24,magyarország,2
72,2020-01-24,česko,2
73,2020-01-24,mexico,2
74,2020-01-24,jersey,2
75,2020-01-24,romania,2
76,2020-01-24,bangladesh,2
77,2020-01-24,slovensko,2
78,2020-01-24,대한민국,2
79,2020-01-24,belgië - belgique - belgien,2
80,2020-01-24,монгол улс,2
81,2020-01-24,albania,2
82,2020-01-24,egypt,2
83,2020-01-24,croatia,2
84,2020-01-24,україна,2
85,2020-01-24,libya,2
86,2020-01-24,italy,2
87,2020-01-24,ປະເທດລາວ,2
88,2020-01-24,fiji,2
89,2020-01-24,česká republika,2
90,2020-01-24,malta,2
91,2020-01-24,saint lucia,2
92,2020-01-24,serbia,1
93,2020-01-24,ελλάδα,1
94,2020-01-24,uruguay,1
95,2020-01-24,iraq,1
96,2020-01-24,cyprus,1
97,2020-01-24,hungary,1
98,2020-01-24,lietuva,1
99,2020-01-24,poland,1
100,2020-01-24,lebanon,1
101,2020-01-24,ethiopia,1
102,2020-01-24,panama,1
103,2020-01-24,israel,1
104,2020-01-24,turks & caicos islands,1
